Imagen,Prob. Sano,Prob. Enfermo
5388127false.png,0.88667315,0.113326885
5388212false.png,0.5269789,0.47302115
5388408false.png,0.38458613,0.61541384
5388720false.png,0.31850475,0.6814953
5388776false.png,0.87957317,0.12042685
5388873false.png,0.44184119,0.55815876
5388960false.png,0.8153311,0.18466891
5389004false.png,0.25562885,0.7443711
5389087false.png,0.36760238,0.63239765
5389088false.png,0.076678336,0.92332166
5389204false.png,0.85645103,0.14354895
5389264false.png,0.3779316,0.62206835
5389266false.png,0.551976,0.44802403
5389415false.png,0.16149095,0.838509
5389426false.png,0.74761325,0.25238675
5389557false.png,0.39938405,0.600616
5389562false.png,0.84944403,0.15055597
5389699false.png,0.36430952,0.63569057
5389919false.png,0.26433793,0.7356621
5390166false.png,0.8428486,0.15715143
5390325false.png,0.4384421,0.5615578
5390390false.png,0.348153,0.65184706
5390619false.png,0.8454299,0.15457015
5390766false.png,0.17063023,0.8293697
5391224false.png,0.42195535,0.57804465
5391248false.png,0.79386866,0.20613128
5391328false.png,0.7842871,0.21571285
5391400false.png,0.6011778,0.39882216
5391445false.png,0.5889407,0.41105938
5391820false.png,0.43694514,0.56305486
5391833false.png,0.7533161,0.24668391
5391920false.png,0.7714368,0.22856317
5391982false.png,0.32846656,0.67153347
5392053false.png,0.6276749,0.37232512
5392112false.png,0.2869629,0.71303713
5392265false.png,0.44512293,0.5548771
5392294false.png,0.34139866,0.65860134
5392295false.png,0.58931965,0.41068038
5392349false.png,0.6025513,0.39744872
5392413false.png,0.57881826,0.42118168
5392422false.png,0.48722017,0.51277983
5392516false.png,0.7479978,0.25200212
5392617false.png,0.6278711,0.3721289
5392636false.png,0.5064319,0.49356803
5392711false.png,0.55384225,0.44615778
5392805false.png,0.4440225,0.5559775
5392904false.png,0.56881547,0.43118456
5393144false.png,0.5350485,0.4649515
5393207false.png,0.79223675,0.20776331
5393218false.png,0.68257505,0.3174249
5393230false.png,0.8032291,0.19677092
5393235false.png,0.15795328,0.8420468
5393533false.png,0.623977,0.37602308
5393633false.png,0.3636081,0.6363919
5393665false.png,0.54709333,0.45290664
5393675false.png,0.7041791,0.2958209
5393839false.png,0.65884477,0.34115526
5393912false.png,0.15298195,0.84701806
5393940false.png,0.47180903,0.528191
5394018false.png,0.3042585,0.6957415
5394056false.png,0.891921,0.108078994
5394107false.png,0.19955283,0.80044717
5394167false.png,0.6342787,0.3657213
5394240false.png,0.7171083,0.28289166
5394262false.png,0.5617262,0.43827382
5394540false.png,0.7624634,0.23753655
5394687false.png,0.71493244,0.2850676
5394759false.png,0.37127855,0.6287215
5394896false.png,0.05635868,0.9436413
5395025false.png,0.7539744,0.2460256
5395509false.png,0.9183021,0.08169792
5395625false.png,0.7939401,0.20605986
5396457false.png,0.33425924,0.6657408
5396596false.png,0.94386685,0.056133196
5396597false.png,0.53810835,0.46189168
5396614false.png,0.3538924,0.6461076
5396798false.png,0.87797153,0.122028455
5396834false.png,0.91394764,0.0860524
5396932false.png,0.3411848,0.6588152
5397015false.png,0.5381031,0.4618969
5397025false.png,0.49272552,0.50727445
5397128false.png,0.1821061,0.8178939
5397248false.png,0.25066024,0.7493398
5397290false.png,0.06553203,0.934468
5397374false.png,0.3414938,0.6585062
5397375false.png,0.18623754,0.8137624
5397384false.png,0.5810565,0.41894346
5397460false.png,0.30941552,0.6905845
5397501false.png,0.23379228,0.76620775
5397541false.png,0.39546648,0.6045335
5397571false.png,0.3262609,0.67373914
